codigo,nombre,capitulo,vigente
017403,RESECCIÓN DE LESIÓN O TUMOR DE LÍNEA MEDIA SUPRATENTORIALES VÍA ENDOSCÓPICA,CapItulo 01 SISTEMA NERVIOSO,1
017404,RESECCIÓN DE LESIÓN O TUMOR DE LA REGIÓN PINEAL VÍA SUPRATENTORIAL,CapItulo 01 SISTEMA NERVIOSO,1
017405,RESECCIÓN DE LESIÓN O TUMOR DE LA REGIÓN PINEAL VÍA INFRATENTORIAL,CapItulo 01 SISTEMA NERVIOSO,1
017406,RESECCIÓN DE LESIÓN O TUMOR DE LA REGIÓN PINEAL VÍA ENDOSCÓPICA,CapItulo 01 SISTEMA NERVIOSO,1
017501,RESECCIÓN DE TUMOR DE LÍNEA MEDIA INFRATENTORIAL- EXTRA AXIAL- POR CRANEOTOMÍA SUBOCCIPITAL,CapItulo 01 SISTEMA NERVIOSO,1
017502,RESECCIÓN DE TUMOR DE LÍNEA MEDIA INFRATENTORIAL- EXTRA AXIAL- POR CRANEOTOMÍA GUIADA POR ESTEREOTAXIA,CapItulo 01 SISTEMA NERVIOSO,1
017504,RESECCIÓN DE LESIONES EXOFÍTICAS SÓLIDAS EN TRONCO CEREBRAL (EXTRA AXIALES)- POR CRANEOTOMÍA SUBOCCIPITAL,CapItulo 01 SISTEMA NERVIOSO,1
017505,RESECCIÓN DE LESIONES EXOFÍTICAS SÓLIDAS EN TRONCO CEREBRAL (EXTRA AXIALES)- POR CRANEOTOMÍA DE FOSA MEDIA,CapItulo 01 SISTEMA NERVIOSO,1
017508,RESECCIÓN DE LESIONES SÓLIDAS O QUÍSTICAS INTRAAXIALES (TRONCO CEREBRAL)- POR CRANEOTOMÍA SUBOCCIPITAL,CapItulo 01 SISTEMA NERVIOSO,1
017509,RESECCIÓN DE LESIONES SÓLIDAS O QUÍSTICAS INTRAAXIALES (TRONCO CEREBRAL)- POR CRANEOTOMÍA SUBTEMPORAL,CapItulo 01 SISTEMA NERVIOSO,1
017601,RESECCIÓN DE LESIONES VENTRICULARES SUPRATENTORIALES- POR CRANEOTOMÍA,CapItulo 01 SISTEMA NERVIOSO,1
017603,RESECCIÓN DE LESIONES VENTRICULARES SUPRATENTORIALES- POR ENDOSCOPIA,CapItulo 01 SISTEMA NERVIOSO,1
017701,RESECCIÓN DE LESIONES VENTRICULARES INFRATENTORIALES- POR CRANEOTOMÍA SUBOCCIPITAL,CapItulo 01 SISTEMA NERVIOSO,1
017702,RESECCIÓN DE LESIONES VENTRICULARES INFRATENTORIALES- POR ENDOSCOPIA,CapItulo 01 SISTEMA NERVIOSO,1
017801,RESECCIÓN DE LESIONES INTRAVENTRICULARES DE LÍNEA MEDIA POR CRANEOTOMÍA,CapItulo 01 SISTEMA NERVIOSO,1
017802,RESECCIÓN DE LESIONES INTRAVENTRICULARES DE LÍNEA MEDIA,CapItulo 01 SISTEMA NERVIOSO,1
017803,RESECCIÓN DE LESIONES INTRAVENTRICULARES DE LÍNEA MEDIA VÍA ENDOSCÓPICA,CapItulo 01 SISTEMA NERVIOSO,1
017806,DRENAJE DE QUISTE TUMORAL DE LÍNEA MEDIA INTRAVENTRICULAR POR CRANEOTOMÍA,CapItulo 01 SISTEMA NERVIOSO,1
017807,DRENAJE DE QUISTE TUMORAL DE LÍNEA MEDIA INTRAVENTRICULAR VÍA ENDOSCÓPICA,CapItulo 01 SISTEMA NERVIOSO,1
018103,HEMISFERECTOMÍA CEREBRAL ANATÓMICA POR CRANEOTOMÍA,CapItulo 01 SISTEMA NERVIOSO,1
018104,HEMISFERECTOMÍA CEREBRAL FUNCIONAL POR CRANEOTOMÍA,CapItulo 01 SISTEMA NERVIOSO,1
018105,HEMISFERECTOMÍA CEREBRAL FUNCIONAL VÍA ENDOSCÓPICA,CapItulo 01 SISTEMA NERVIOSO,1
018106,HEMISFEROTOMÍA CEREBRAL POR CRANEOTOMÍA,CapItulo 01 SISTEMA NERVIOSO,1
018107,HEMISFEROTOMÍA CEREBRAL VÍA ENDOSCÓPICA,CapItulo 01 SISTEMA NERVIOSO,1
018201,HEMISFERECTOMÍA CEREBELOSA POR CRANEOTOMÍA SUBOCCIPITAL,CapItulo 01 SISTEMA NERVIOSO,1
018202,HEMISFERECTOMÍA CEREBELOSA,CapItulo 01 SISTEMA NERVIOSO,1
019101,LOBECTOMÍA POR CRANEOTOMÍA,CapItulo 01 SISTEMA NERVIOSO,1
019201,LOBECTOMÍA POR CRANIECTOMÍA,CapItulo 01 SISTEMA NERVIOSO,1
020001,REMODELACIÓN CRANEANA TOTAL,CapItulo 01 SISTEMA NERVIOSO,1
020105,CORRECCIÓN DE CRÁNEO ESTENOSIS CON ALTERACIÓN CRÁNEO FACIAL COMPLEJA- POR CRANEOTOMÍA,CapItulo 01 SISTEMA NERVIOSO,1
020106,CORRECCIÓN DE CRÁNEO ESTENOSIS CON ALTERACIÓN CRÁNEO FACIAL COMPLEJA- CON AVANCE FRONTO-ORBITARIO- CON O SIN DISTRACCIÓN,CapItulo 01 SISTEMA NERVIOSO,1
020107,CORRECCIÓN DE CRÁNEO ESTENOSIS CON ALTERACIÓN CRÁNEO FACIAL COMPLEJA- CON AVANCE FRONTO NASAL (LEFORT III),CapItulo 01 SISTEMA NERVIOSO,1
020108,CORRECCIÓN DE CRÁNEO ESTENOSIS CON ALTERACIÓN CRÁNEO FACIAL COMPLEJA- CON AVANCE FRONTO MAXILAR (LEFORT II),CapItulo 01 SISTEMA NERVIOSO,1
020109,APERTURA DE SUTURA CRANEAL,CapItulo 01 SISTEMA NERVIOSO,1
020110,CORRECCIÓN DE CRÁNEO ESTENOSIS MÚLTIPLE CON BRAQUICEFALIA CON AVANCE FRONTO ORBITARIO POR CRANIECTOMÍA,CapItulo 01 SISTEMA NERVIOSO,1
020111,CORRECCIÓN DE CRÁNEO ESTENOSIS MÚLTIPLE CON BRAQUICEFALIA CON AVANCE FRONTO ORBITARIO VÍA ENDOSCÓPICA,CapItulo 01 SISTEMA NERVIOSO,1
020112,CORRECCIÓN DE ASIMETRÍA CRANEANA,CapItulo 01 SISTEMA NERVIOSO,1
020113,CORRECCIÓN DE CRÁNEO ESTENOSIS CON ALTERACIÓN CRÁNEO FACIAL COMPLEJA- CON AVANCE FRONTO FACIAL- CON O SIN DISTRACCIÓN,CapItulo 01 SISTEMA NERVIOSO,1
020114,ROTACIÓN DE HEMICARAS O BIPARTICIÓN FACIAL,CapItulo 01 SISTEMA NERVIOSO,1
020115,EXPANSIÓN CRANEANA ANTERIOR,CapItulo 01 SISTEMA NERVIOSO,1
020116,EXPANSIÓN CRANEANA POSTERIOR,CapItulo 01 SISTEMA NERVIOSO,1
020201,ESQUIRLECTOMÍA CRANEAL A TRAVÉS DE TREPANACIÓN,CapItulo 01 SISTEMA NERVIOSO,1
020202,DESBRIDAMIENTO DE FRACTURA COMPUESTA (CONMINUTA) DE CRÁNEO,CapItulo 01 SISTEMA NERVIOSO,1
020203,REDUCCIÓN DE FRACTURA CRANEAL (HUNDIMIENTO SIN COMPROMISO DE DURA) CON ESQUIRLECTOMÍA Y CRANEOPLASTIA,CapItulo 01 SISTEMA NERVIOSO,1
